response_id,customer_id,survey_date,overall_satisfaction,product_quality,customer_service,value_for_money,would_recommend,nps_score,comments
74,10547,2024-02-02,Very Satisfied,5,2,5,Yes,7.0,Great!
75,11212,2024-05-24,Very Satisfied,5,5,3,Yes,6.0,Average
76,10283,2024-02-17,Neutral,2,2,2,Yes,9.0,Great!
77,11943,2024-05-30,Satisfied,5,4,5,Yes,6.0,Average
78,10221,2024-02-03,Very Dissatisfied,1,1,3,Yes,2.0,Great!
79,11517,2024-02-07,Neutral,5,3,3,No,10.0,Could be better
80,11982,2024-02-20,Dissatisfied,5,4,1,No,4.0,Could be better
81,10024,2024-04-01,Dissatisfied,3,5,4,Yes,6.0,
82,11359,2024-01-12,Dissatisfied,5,3,5,Yes,4.0,
83,10534,2024-05-14,Neutral,2,2,2,No,1.0,Good
84,11503,2024-03-03,Neutral,4,1,2,No,10.0,Great!
85,10638,2024-01-01,Dissatisfied,4,4,1,Yes,10.0,
86,11059,2024-03-12,Neutral,2,3,1,No,1.0,Great!
87,10422,2024-03-30,Neutral,3,1,3,No,4.0,Great!
88,11636,2024-01-29,Very Satisfied,1,2,5,No,10.0,
89,11087,2024-04-11,Neutral,3,3,3,Yes,3.0,Average
90,11730,2024-02-22,Satisfied,3,1,4,Yes,2.0,
91,10130,2024-05-25,Very Satisfied,5,3,5,No,6.0,Good
92,11110,2024-02-04,Very Satisfied,3,5,4,No,3.0,Good
93,11963,2024-01-07,Satisfied,2,3,5,Yes,7.0,
94,11065,2024-05-02,Satisfied,3,1,2,Yes,7.0,Good
95,11189,2024-05-31,Neutral,5,5,3,No,2.0,
96,11835,2024-02-13,Very Satisfied,2,4,4,Yes,0.0,Average
97,10663,2024-03-27,Very Satisfied,3,4,2,No,8.0,Could be better
98,11738,2024-06-08,Very Dissatisfied,3,3,2,Yes,7.0,
99,10661,2024-04-27,Very Dissatisfied,3,3,4,Yes,6.0,
100,11241,2024-01-16,Neutral,5,1,5,No,3.0,Great!
101,11670,2024-01-21,Very Satisfied,2,2,2,No,3.0,Great!
102,11354,2024-01-08,Very Satisfied,3,3,3,Yes,5.0,Good
103,10338,2024-04-17,Very Satisfied,2,1,2,No,2.0,Average
104,11909,2024-06-19,Dissatisfied,2,4,3,Yes,3.0,
105,10630,2024-06-05,Satisfied,2,1,4,No,2.0,Great!
106,11180,2024-06-19,Very Satisfied,3,4,4,Yes,2.0,
107,10748,2024-04-25,Dissatisfied,3,2,5,Yes,9.0,
108,10050,2024-03-28,Very Dissatisfied,2,2,5,Yes,4.0,Could be better
109,11495,2024-06-04,Satisfied,3,3,5,Yes,8.0,
110,10008,2024-02-22,Neutral,1,5,1,No,4.0,Great!
111,11839,2024-05-11,Satisfied,2,5,3,No,5.0,Good
112,10579,2024-02-24,Neutral,3,1,4,Yes,1.0,
113,10481,2024-04-16,Satisfied,5,2,4,Yes,8.0,
114,10990,2024-05-23,Very Satisfied,4,3,4,Yes,1.0,Great!
115,11966,2024-05-11,Satisfied,2,3,3,No,8.0,
116,11624,2024-04-09,Very Satisfied,5,3,4,No,6.0,Could be better
117,11355,2024-02-10,Very Dissatisfied,4,2,4,Yes,4.0,Great!
118,11281,2024-02-03,Very Dissatisfied,2,2,2,Yes,4.0,
119,10343,2024-04-30,Dissatisfied,5,2,5,No,,Average
120,11732,2024-04-27,Dissatisfied,4,1,3,No,2.0,
121,11183,2024-02-09,Neutral,5,4,5,No,7.0,
122,11333,2024-04-09,Neutral,3,1,2,No,7.0,Could be better
123,11883,2024-04-29,Very Satisfied,5,5,4,Yes,3.0,Good
124,10275,2024-06-22,Very Dissatisfied,5,1,2,Yes,6.0,Could be better
125,10094,2024-03-28,Very Dissatisfied,2,1,2,Yes,6.0,Good
126,11668,2024-01-26,Neutral,4,5,5,Yes,9.0,Could be better
127,10761,2024-04-14,Very Satisfied,4,5,1,Yes,5.0,Good
128,11002,2024-06-07,Neutral,3,1,2,No,5.0,Average
129,10362,2024-01-23,Satisfied,5,2,1,No,3.0,Could be better
130,11158,2024-04-19,Dissatisfied,1,2,1,No,0.0,
131,10896,2024-06-13,Very Satisfied,5,3,5,No,2.0,
132,11351,2024-06-09,Dissatisfied,4,3,4,Yes,9.0,
133,11188,2024-02-28,Dissatisfied,5,4,4,No,0.0,Good
134,10045,2024-02-07,Dissatisfied,1,4,5,No,1.0,
135,10356,2024-03-31,Satisfied,4,3,1,Yes,4.0,
136,10319,2024-06-08,Satisfied,2,1,2,No,3.0,Great!
137,11376,2024-04-30,Very Satisfied,4,1,3,Yes,9.0,
138,11735,2024-05-08,Satisfied,5,1,1,No,1.0,Good
139,11392,2024-04-06,Neutral,3,4,3,Yes,5.0,Great!
140,11046,2024-03-14,Neutral,5,4,3,Yes,1.0,Could be better
141,10961,2024-03-18,Satisfied,5,5,3,No,3.0,
142,11520,2024-03-01,Very Dissatisfied,1,1,4,No,3.0,Average
143,10003,2024-06-17,Neutral,5,3,1,Yes,4.0,Average
144,10895,2024-03-28,Neutral,4,5,4,No,5.0,Good
145,10017,2024-04-20,Very Satisfied,1,4,1,Yes,5.0,Average
146,10661,2024-05-23,Satisfied,2,5,3,Yes,9.0,
147,10212,2024-05-11,Satisfied,3,5,5,No,0.0,Great!
148,10238,2024-03-30,Satisfied,3,3,4,No,4.0,Great!
149,10390,2024-02-04,Satisfied,3,1,1,No,8.0,Good
150,10824,2024-01-30,Dissatisfied,4,4,1,No,3.0,Good
151,11858,2024-04-06,Dissatisfied,4,3,1,Yes,,Great!
152,10641,2024-04-26,Very Satisfied,1,5,2,Yes,10.0,Could be better
153,10115,2024-06-10,Satisfied,3,3,5,Yes,3.0,Good
154,10742,2024-01-25,Very Dissatisfied,2,5,3,Yes,,Could be better
155,10401,2024-03-05,Very Satisfied,4,2,1,Yes,6.0,Good
156,11464,2024-06-03,Dissatisfied,1,4,1,No,8.0,Good
157,10408,2024-05-16,Very Dissatisfied,5,3,2,No,2.0,Could be better
158,10065,2024-04-28,Neutral,2,1,2,No,6.0,
159,10985,2024-03-06,Satisfied,2,5,3,No,3.0,Great!
160,11245,2024-01-26,Satisfied,1,1,4,Yes,9.0,Good
161,11712,2024-03-10,Very Satisfied,3,3,5,No,5.0,Good
162,11091,2024-04-24,Dissatisfied,3,3,2,Yes,9.0,Great!
163,10025,2024-02-23,Very Dissatisfied,1,1,1,Yes,6.0,
164,11970,2024-01-17,Dissatisfied,1,5,3,Yes,10.0,
165,11143,2024-02-17,Dissatisfied,2,1,3,Yes,3.0,Average
166,10879,2024-04-19,Dissatisfied,1,1,4,No,0.0,Great!
167,10559,2024-05-31,Neutral,1,5,5,No,2.0,Great!
168,11778,2024-01-30,Neutral,4,2,5,Yes,7.0,Could be better
169,11061,2024-02-10,Very Dissatisfied,2,4,4,Yes,6.0,Average
170,11547,2024-02-26,Very Dissatisfied,1,3,3,Yes,3.0,Average
171,10926,2024-05-09,Neutral,5,1,2,No,5.0,
172,11628,2024-06-13,Satisfied,3,3,4,No,3.0,
173,10753,2024-05-05,Neutral,3,2,5,Yes,1.0,Great!
174,10923,2024-02-17,Satisfied,3,1,3,No,2.0,
175,11459,2024-03-17,Satisfied,5,5,5,Yes,3.0,Great!
176,10161,2024-02-03,Very Dissatisfied,3,5,2,No,9.0,
177,11506,2024-04-12,Dissatisfied,1,5,4,No,10.0,Could be better
178,10897,2024-05-27,Very Dissatisfied,3,1,5,No,10.0,Average
179,10735,2024-05-05,Satisfied,1,3,5,No,6.0,Good
180,11857,2024-06-05,Very Satisfied,5,2,3,Yes,0.0,Could be better
181,10963,2024-05-16,Very Dissatisfied,3,3,4,No,2.0,
182,10468,2024-01-17,Neutral,5,4,4,Yes,0.0,
183,11114,2024-03-28,Neutral,1,5,5,No,6.0,Could be better
184,11683,2024-02-22,Very Satisfied,4,2,3,Yes,6.0,
185,11984,2024-06-29,Dissatisfied,3,3,4,Yes,4.0,Could be better
186,11849,2024-04-05,Satisfied,4,5,5,Yes,5.0,Great!
187,11543,2024-01-29,Very Dissatisfied,3,5,4,Yes,5.0,
188,11351,2024-03-05,Very Dissatisfied,1,3,1,Yes,0.0,Could be better
189,11633,2024-02-21,Very Satisfied,2,4,2,No,8.0,Great!
190,11431,2024-04-18,Very Dissatisfied,3,1,5,No,10.0,Great!
191,10318,2024-01-29,Very Dissatisfied,4,4,2,No,3.0,
192,11779,2024-06-24,Satisfied,5,4,3,No,0.0,Could be better
193,11768,2024-03-21,Neutral,2,2,4,No,1.0,Could be better
194,10588,2024-04-28,Dissatisfied,2,4,3,Yes,4.0,Good
195,10885,2024-06-01,Very Satisfied,2,5,3,Yes,1.0,Average
196,10418,2024-01-02,Very Satisfied,1,1,5,No,9.0,
197,10676,2024-04-21,Very Dissatisfied,4,5,4,No,0.0,Good
198,11176,2024-04-20,Very Satisfied,5,2,3,Yes,8.0,Average
199,10387,2024-02-02,Dissatisfied,3,1,2,No,10.0,
200,10143,2024-06-08,Dissatisfied,3,5,4,Yes,2.0,Could be better
201,11682,2024-02-19,Very Dissatisfied,3,1,2,No,9.0,
202,11022,2024-06-01,Very Dissatisfied,4,1,5,No,5.0,
203,11787,2024-04-27,Neutral,3,1,4,No,8.0,Could be better
204,11161,2024-04-13,Satisfied,2,4,1,No,4.0,Good
205,10168,2024-01-20,Very Satisfied,4,1,4,No,7.0,
206,11221,2024-01-01,Very Satisfied,1,3,1,No,4.0,Great!
207,11713,2024-06-26,Very Satisfied,3,2,5,Yes,9.0,
208,10089,2024-01-03,Very Satisfied,4,2,1,No,9.0,
209,11378,2024-06-19,Dissatisfied,5,2,4,Yes,7.0,Great!
210,11741,2024-06-23,Neutral,3,5,1,No,9.0,Average
211,10400,2024-06-15,Satisfied,4,3,5,No,4.0,Great!
212,11564,2024-05-30,Dissatisfied,3,1,4,Yes,6.0,Great!
213,11591,2024-01-05,Very Dissatisfied,5,5,4,No,7.0,Great!
214,10707,2024-01-18,Satisfied,1,3,4,Yes,5.0,Could be better
215,11770,2024-05-23,Very Satisfied,2,4,3,No,10.0,Good
216,10171,2024-02-28,Dissatisfied,3,2,5,Yes,5.0,Could be better
217,11515,2024-04-21,Satisfied,3,3,1,Yes,0.0,Could be better
218,11643,2024-04-16,Very Dissatisfied,1,3,3,Yes,6.0,Good
219,11069,2024-06-09,Neutral,3,2,4,Yes,8.0,
220,10764,2024-02-02,Very Satisfied,5,5,5,No,2.0,
221,10782,2024-02-03,Very Dissatisfied,2,1,4,Yes,3.0,Average
222,10253,2024-02-12,Dissatisfied,2,1,5,No,2.0,Could be better
223,10104,2024-05-20,Dissatisfied,5,5,1,Yes,6.0,
224,10451,2024-05-09,Very Dissatisfied,5,4,2,No,4.0,Great!
225,10041,2024-06-06,Neutral,2,3,5,No,3.0,Average
226,10590,2024-06-04,Neutral,5,5,2,Yes,9.0,Average
227,11243,2024-02-21,Neutral,2,2,5,Yes,10.0,Average
228,10759,2024-02-19,Very Satisfied,4,2,3,No,10.0,Great!
229,11150,2024-05-27,Dissatisfied,1,2,5,No,1.0,
230,10397,2024-04-24,Very Dissatisfied,5,2,2,No,8.0,Could be better
231,11530,2024-02-11,Dissatisfied,5,5,5,Yes,7.0,Could be better
232,11059,2024-03-29,Satisfied,5,4,2,No,2.0,Could be better
233,11902,2024-06-12,Very Satisfied,5,1,4,Yes,9.0,Great!
234,11045,2024-03-31,Very Satisfied,1,5,2,Yes,8.0,Good
235,10109,2024-06-11,Satisfied,2,3,5,No,10.0,
236,11763,2024-01-09,Dissatisfied,2,2,1,Yes,7.0,Average
237,11751,2024-03-04,Satisfied,2,2,4,No,4.0,Could be better
238,11216,2024-02-02,Dissatisfied,2,4,2,Yes,8.0,Could be better
239,10367,2024-01-29,Neutral,1,4,2,No,1.0,Great!
240,10158,2024-03-11,Dissatisfied,5,1,2,No,3.0,Good
241,11561,2024-06-14,Very Dissatisfied,3,3,2,No,10.0,Average
242,11623,2024-02-26,Very Dissatisfied,4,1,2,Yes,1.0,Could be better
243,11171,2024-06-19,Very Satisfied,1,2,5,Yes,5.0,
244,10058,2024-05-08,Dissatisfied,4,4,2,Yes,7.0,Good
245,11822,2024-01-23,Dissatisfied,4,1,1,No,2.0,
246,10458,2024-02-19,Satisfied,1,4,3,Yes,5.0,
247,10062,2024-04-05,Very Satisfied,5,1,5,Yes,2.0,Great!
248,11976,2024-06-12,Dissatisfied,5,3,1,Yes,4.0,Average
249,11550,2024-03-25,Very Dissatisfied,4,4,1,No,10.0,Good
250,11913,2024-01-16,Satisfied,1,1,5,No,2.0,Good
251,10520,2024-01-08,Very Satisfied,3,5,5,Yes,3.0,Average
252,10429,2024-06-21,Satisfied,4,1,1,Yes,7.0,
253,10525,2024-03-18,Satisfied,5,2,3,Yes,1.0,
254,11462,2024-02-03,Very Dissatisfied,5,2,4,No,8.0,Great!
255,10070,2024-01-20,Satisfied,5,4,2,Yes,3.0,Good
256,10057,2024-03-29,Satisfied,2,3,3,No,3.0,Great!
257,10628,2024-03-14,Satisfied,2,5,3,No,2.0,
258,11136,2024-04-06,Very Satisfied,3,2,3,No,9.0,Great!
259,10152,2024-06-10,Dissatisfied,2,2,5,No,9.0,Average
260,11895,2024-05-14,Very Dissatisfied,5,1,2,No,7.0,
261,11701,2024-03-10,Dissatisfied,3,1,4,No,5.0,
262,10161,2024-06-28,Dissatisfied,2,3,5,Yes,0.0,Good
263,11590,2024-05-01,Very Dissatisfied,1,3,5,Yes,5.0,Good
264,10383,2024-04-29,Very Satisfied,1,2,1,Yes,4.0,Good
265,10852,2024-04-06,Very Dissatisfied,3,2,3,Yes,8.0,Great!
266,10132,2024-03-05,Dissatisfied,1,1,5,No,3.0,Could be better
267,10481,2024-04-05,Dissatisfied,5,4,3,Yes,0.0,Good
268,11509,2024-05-03,Very Dissatisfied,3,2,5,No,9.0,
269,10531,2024-03-25,Dissatisfied,2,1,3,No,7.0,Good
270,10284,2024-03-01,Very Satisfied,5,2,3,No,1.0,Good
271,10623,2024-03-26,Very Satisfied,5,3,1,No,4.0,Could be better
272,10761,2024-03-18,Satisfied,1,4,1,No,5.0,Could be better
273,10861,2024-04-30,Satisfied,1,5,4,Yes,6.0,Could be better
274,11509,2024-03-16,Satisfied,4,4,3,Yes,5.0,
275,10783,2024-01-26,Dissatisfied,2,4,1,No,8.0,Great!
276,10653,2024-02-23,Dissatisfied,4,5,5,Yes,7.0,
277,11393,2024-05-08,Satisfied,5,2,2,Yes,7.0,Average
278,10045,2024-02-28,Satisfied,3,3,1,Yes,6.0,Great!
279,10439,2024-03-22,Very Dissatisfied,5,5,4,No,10.0,Average
280,11613,2024-05-12,Very Dissatisfied,3,3,4,No,1.0,Good
281,11960,2024-01-02,Very Satisfied,1,5,5,No,1.0,Great!
282,10017,2024-05-15,Neutral,1,2,4,No,6.0,
283,10464,2024-01-24,Very Satisfied,2,2,4,Yes,5.0,Could be better
284,11350,2024-03-08,Satisfied,4,2,3,No,10.0,
285,10576,2024-05-01,Very Dissatisfied,1,2,2,Yes,6.0,
286,10764,2024-01-07,Satisfied,2,3,1,Yes,6.0,
287,10166,2024-01-29,Satisfied,1,5,5,Yes,0.0,Great!
288,11271,2024-05-26,Very Dissatisfied,1,3,3,No,0.0,Average
289,10657,2024-04-28,Dissatisfied,4,3,3,No,1.0,Average
290,11218,2024-02-11,Dissatisfied,1,4,5,Yes,2.0,
291,11473,2024-03-25,Satisfied,4,5,5,No,,Average
292,10257,2024-05-06,Satisfied,3,1,2,No,8.0,Average
293,10393,2024-03-13,Very Dissatisfied,5,3,2,Yes,3.0,Great!
294,11168,2024-05-23,Dissatisfied,1,5,1,No,1.0,
295,10334,2024-02-24,Dissatisfied,2,1,2,No,8.0,
296,10506,2024-06-29,Very Satisfied,3,5,2,Yes,7.0,Great!
297,10531,2024-01-13,Neutral,2,4,4,Yes,3.0,Good
298,11178,2024-02-23,Very Dissatisfied,5,2,3,No,0.0,
299,11098,2024-06-11,Dissatisfied,3,4,5,No,0.0,Great!
300,10251,2024-04-13,Very Dissatisfied,4,2,3,No,3.0,Could be better
301,10961,2024-05-11,Satisfied,4,2,3,Yes,8.0,Good
302,10302,2024-01-24,Satisfied,3,1,4,No,7.0,Average
303,10633,2024-02-01,Satisfied,1,1,4,Yes,9.0,
304,11840,2024-04-11,Very Dissatisfied,1,2,2,No,10.0,Could be better
305,10955,2024-06-28,Very Dissatisfied,2,3,5,Yes,3.0,Could be better
306,10279,2024-04-20,Satisfied,4,4,2,Yes,,
307,11750,2024-02-12,Neutral,3,4,5,Yes,5.0,
308,11273,2024-06-29,Very Satisfied,3,2,2,Yes,7.0,Average
309,11450,2024-06-06,Very Satisfied,2,2,3,Yes,7.0,Great!
310,11757,2024-01-18,Very Satisfied,4,1,4,Yes,8.0,Great!
311,10964,2024-05-10,Neutral,5,4,4,Yes,8.0,Average
312,10231,2024-04-04,Neutral,3,2,1,Yes,1.0,Average
313,10218,2024-02-29,Very Dissatisfied,3,4,3,No,10.0,Average
314,11356,2024-01-02,Neutral,2,5,3,No,10.0,Great!
315,11179,2024-04-06,Dissatisfied,5,4,3,No,9.0,Good
316,11660,2024-04-02,Very Satisfied,2,1,3,No,9.0,Could be better
317,10773,2024-02-02,Neutral,4,5,4,No,5.0,
318,10953,2024-05-26,Neutral,4,1,4,Yes,3.0,Great!
319,11783,2024-04-22,Very Satisfied,1,3,4,No,10.0,Great!
320,10837,2024-04-28,Satisfied,3,1,3,No,10.0,
321,10561,2024-04-26,Neutral,3,4,5,No,8.0,
322,11814,2024-02-08,Very Satisfied,1,3,5,No,5.0,
323,11069,2024-05-04,Very Dissatisfied,5,2,2,Yes,2.0,Average
324,11298,2024-05-22,Dissatisfied,3,2,2,Yes,7.0,
325,11185,2024-03-01,Dissatisfied,1,2,3,No,3.0,Could be better
326,11957,2024-02-02,Very Dissatisfied,4,3,2,Yes,0.0,
327,11115,2024-02-25,Very Dissatisfied,4,2,5,Yes,4.0,Great!
328,10743,2024-05-28,Dissatisfied,2,5,1,Yes,2.0,Average
329,10013,2024-02-26,Very Dissatisfied,1,2,5,No,10.0,
330,11339,2024-03-30,Very Dissatisfied,4,4,2,Yes,9.0,Average
331,10034,2024-03-13,Very Dissatisfied,1,5,4,No,10.0,Could be better
332,11792,2024-02-14,Very Dissatisfied,4,2,2,Yes,10.0,Great!
333,10071,2024-01-06,Neutral,1,4,3,Yes,5.0,Average
334,11820,2024-06-10,Very Satisfied,2,1,2,Yes,5.0,Could be better
335,10473,2024-05-07,Satisfied,1,5,1,Yes,4.0,Average
336,10557,2024-04-20,Neutral,4,5,2,Yes,2.0,Average
337,10513,2024-03-13,Dissatisfied,1,1,1,Yes,10.0,
338,10272,2024-01-17,Satisfied,4,5,3,No,7.0,Average
339,10365,2024-01-03,Very Satisfied,1,3,1,Yes,9.0,
340,10704,2024-02-03,Satisfied,2,2,3,Yes,6.0,Could be better
341,11455,2024-03-24,Very Dissatisfied,2,1,5,Yes,7.0,
342,11742,2024-03-24,Satisfied,4,3,4,Yes,,
343,10802,2024-04-27,Satisfied,5,1,4,Yes,10.0,Great!
344,11096,2024-05-29,Very Dissatisfied,5,1,5,No,3.0,Average
345,11111,2024-03-06,Dissatisfied,5,5,5,Yes,3.0,Great!
346,10894,2024-01-10,Very Dissatisfied,4,1,1,No,4.0,Great!
347,11473,2024-02-08,Neutral,2,5,2,No,2.0,Good
348,10739,2024-05-26,Very Satisfied,2,4,4,Yes,7.0,
349,10203,2024-03-01,Very Satisfied,5,2,3,No,7.0,Good
350,10985,2024-01-23,Satisfied,3,2,2,Yes,3.0,
351,10590,2024-06-09,Very Satisfied,1,4,2,No,7.0,Great!
352,11796,2024-05-24,Neutral,3,4,1,Yes,10.0,
353,11453,2024-01-09,Neutral,3,3,4,No,8.0,
354,11175,2024-01-15,Very Dissatisfied,2,4,1,Yes,0.0,Great!
355,11681,2024-04-29,Very Satisfied,4,4,5,No,0.0,Great!
356,10416,2024-03-17,Satisfied,1,5,5,Yes,1.0,Average
357,11745,2024-02-12,Satisfied,5,1,4,Yes,3.0,
358,11190,2024-02-02,Dissatisfied,2,1,4,Yes,7.0,Great!
359,10215,2024-03-05,Neutral,4,4,5,No,10.0,
360,10569,2024-01-14,Satisfied,3,3,1,Yes,2.0,Could be better
361,11160,2024-03-17,Neutral,1,3,1,No,1.0,Great!
362,11477,2024-02-05,Very Dissatisfied,3,5,2,Yes,1.0,
363,11876,2024-04-21,Dissatisfied,4,5,5,Yes,4.0,Great!
364,11657,2024-03-02,Very Dissatisfied,1,4,5,No,1.0,Good
365,10789,2024-05-07,Very Satisfied,5,2,1,Yes,0.0,
366,10399,2024-06-22,Very Satisfied,3,4,5,Yes,3.0,
367,11642,2024-05-27,Dissatisfied,1,1,2,No,6.0,
368,10531,2024-01-24,Satisfied,5,4,2,No,5.0,
369,10128,2024-01-14,Dissatisfied,2,4,1,Yes,9.0,Average
370,11875,2024-05-04,Very Dissatisfied,1,4,1,Yes,0.0,Could be better
371,11670,2024-04-14,Satisfied,4,3,3,No,10.0,Could be better
372,10099,2024-04-19,Very Satisfied,5,1,5,No,4.0,Good
373,10272,2024-05-15,Satisfied,4,5,4,No,4.0,Great!
374,11334,2024-02-13,Dissatisfied,3,1,2,No,2.0,Good
375,11271,2024-03-14,Neutral,5,1,3,No,5.0,Good
376,10562,2024-05-15,Dissatisfied,4,4,1,No,6.0,
377,11778,2024-02-01,Very Satisfied,2,1,1,No,10.0,Great!
378,11935,2024-05-02,Dissatisfied,2,3,5,Yes,3.0,Average
379,10256,2024-01-07,Satisfied,2,4,5,No,7.0,Average
380,10350,2024-03-31,Satisfied,2,1,5,No,4.0,Could be better
381,10939,2024-05-22,Satisfied,3,2,5,Yes,1.0,Great!
382,11753,2024-01-16,Very Satisfied,4,1,1,No,7.0,Average
383,11860,2024-06-01,Satisfied,2,2,4,No,9.0,Could be better
384,10521,2024-04-25,Neutral,4,4,1,Yes,8.0,Great!
385,11559,2024-04-28,Very Satisfied,3,3,4,No,3.0,
386,11331,2024-05-17,Neutral,5,2,4,Yes,2.0,Great!
387,10380,2024-05-01,Satisfied,5,5,4,Yes,4.0,Great!
388,11997,2024-05-15,Dissatisfied,3,5,3,No,5.0,Average
389,11772,2024-04-29,Satisfied,1,2,1,No,9.0,
390,10895,2024-05-24,Very Dissatisfied,3,3,1,Yes,5.0,Average
391,11199,2024-05-23,Very Dissatisfied,3,4,5,Yes,7.0,
392,11984,2024-02-25,Very Dissatisfied,4,1,3,No,7.0,Good
393,10964,2024-06-15,Very Dissatisfied,5,4,4,Yes,8.0,Average
